colour	x	y	label	key	clickSelects	showSelected1	showSelected2	PANEL	group
#A799FF	27	3305	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	August 2013	2	98
#A799FF	18	3830	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	C么te-Sainte-Catherine	September 2013	2	99
#0591F5	15	865	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	January 2013	2	174
#0591F5	14	790	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	February 2013	2	175
#0591F5	28	1207	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	March 2013	2	176
#0591F5	30	3663	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	April 2013	2	177
#0591F5	31	5216	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	May 2013	2	178
#0591F5	20	4952	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	June 2013	2	179
#0591F5	3	4866	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	July 2013	2	180
#0591F5	29	4402	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	August 2013	2	181
#0591F5	5	4734	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	Maisonneuve 1	September 2013	2	182
#FC9D31	16	1278	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	January 2013	2	224
#FC9D31	14	1067	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	February 2013	2	225
#FC9D31	28	2012	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	March 2013	2	226
#FC9D31	30	5812	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	April 2013	2	227
#FC9D31	28	8184	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	May 2013	2	228
#FC9D31	13	8066	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	June 2013	2	229
#FC9D31	3	7986	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	July 2013	2	230
#FC9D31	6	7624	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	August 2013	2	231
#FC9D31	3	7627	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	Maisonneuve 2	September 2013	2	232
#FB8072	16	910	du Parc	du Parc	du Parc	du Parc	January 2013	2	125
#FB8072	26	762	du Parc	du Parc	du Parc	du Parc	February 2013	2	126
#FB8072	28	1406	du Parc	du Parc	du Parc	du Parc	March 2013	2	127
#FB8072	30	3582	du Parc	du Parc	du Parc	du Parc	April 2013	2	128
#FB8072	8	4603	du Parc	du Parc	du Parc	du Parc	May 2013	2	129
#FB8072	13	4578	du Parc	du Parc	du Parc	du Parc	June 2013	2	130
#FB8072	3	4298	du Parc	du Parc	du Parc	du Parc	July 2013	2	131
#FB8072	21	3985	du Parc	du Parc	du Parc	du Parc	August 2013	2	132
#FB8072	18	4574	du Parc	du Parc	du Parc	du Parc	September 2013	2	133
#93DF10	20	506	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	January 2013	2	258
#93DF10	14	519	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	February 2013	2	259
#93DF10	30	949	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	March 2013	2	260
#93DF10	28	3718	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	April 2013	2	261
#93DF10	5	3886	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	May 2013	2	262
#93DF10	30	4786	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	June 2013	2	263
#93DF10	21	5341	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	July 2013	2	264
#93DF10	11	4189	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	August 2013	2	265
#93DF10	1	4396	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	Pierre-Dupuy	September 2013	2	266
#F58AC1	15	1158	Rachel	Rachel	Rachel	Rachel	January 2013	2	291
#F58AC1	26	1022	Rachel	Rachel	Rachel	Rachel	February 2013	2	292
#F58AC1	31	3230	Rachel	Rachel	Rachel	Rachel	March 2013	2	293
#F58AC1	30	5428	Rachel	Rachel	Rachel	Rachel	April 2013	2	294
#F58AC1	31	9055	Rachel	Rachel	Rachel	Rachel	May 2013	2	295
#F58AC1	19	7161	Rachel	Rachel	Rachel	Rachel	June 2013	2	296
#F58AC1	12	7385	Rachel	Rachel	Rachel	Rachel	July 2013	2	297
#F58AC1	6	6934	Rachel	Rachel	Rachel	Rachel	August 2013	2	298
#F58AC1	5	6323	Rachel	Rachel	Rachel	Rachel	September 2013	2	299
#D21BD5	26	932	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	February 2013	2	323
#D21BD5	28	1478	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	March 2013	2	324
#D21BD5	30	3470	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	April 2013	2	325
#D21BD5	31	4486	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	May 2013	2	326
#D21BD5	20	4534	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	June 2013	2	327
#D21BD5	11	4655	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	July 2013	2	328
#D21BD5	21	4793	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	August 2013	2	329
#D21BD5	18	4421	Totem_Laurier	Totem_Laurier	Totem_Laurier	Totem_Laurier	September 2013	2	330
