colour	x	y	tooltip	clickSelects	showSelected1	PANEL	fill
#0591F5	1352917800	1167.4	5837 cyclists counted at Maisonneuve 1 in 5 days of November 2012 (mean 1167 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1358188200	121.709677419355	3773 cyclists counted at Maisonneuve 1 in 31 days of January 2013 (mean 121 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1360866600	146.535714285714	4103 cyclists counted at Maisonneuve 1 in 28 days of February 2013 (mean 146 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1363285800	320.161290322581	9925 cyclists counted at Maisonneuve 1 in 31 days of March 2013 (mean 320 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1365964200	1396.23333333333	41887 cyclists counted at Maisonneuve 1 in 30 days of April 2013 (mean 1396 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1368556200	2947.16129032258	91362 cyclists counted at Maisonneuve 1 in 31 days of May 2013 (mean 2947 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1371234600	2731.86666666667	81956 cyclists counted at Maisonneuve 1 in 30 days of June 2013 (mean 2731 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1373826600	2961.38709677419	91803 cyclists counted at Maisonneuve 1 in 31 days of July 2013 (mean 2961 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1376505000	2806.03225806452	86987 cyclists counted at Maisonneuve 1 in 31 days of August 2013 (mean 2806 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#0591F5	1379183400	2607.5	46935 cyclists counted at Maisonneuve 1 in 18 days of September 2013 (mean 2607 cyclists/day)	Maisonneuve 1	Maisonneuve 1	2	#0591F5
#FC9D31	1245004200	3591.30434782609	82600 cyclists counted at Maisonneuve 2 in 23 days of June 2009 (mean 3591 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2	#FC9D31
#FC9D31	1247596200	3944.41935483871	122277 cyclists counted at Maisonneuve 2 in 31 days of July 2009 (mean 3944 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2	#FC9D31
#FC9D31	1250274600	3919.67741935484	121510 cyclists counted at Maisonneuve 2 in 31 days of August 2009 (mean 3919 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2	#FC9D31
#FC9D31	1252953000	4445.5	133365 cyclists counted at Maisonneuve 2 in 30 days of September 2009 (mean 4445 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2	#FC9D31
#FC9D31	1255545000	2535.45161290323	78599 cyclists counted at Maisonneuve 2 in 31 days of October 2009 (mean 2535 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2	#FC9D31
#FC9D31	1258223400	2050.76666666667	61523 cyclists counted at Maisonneuve 2 in 30 days of November 2009 (mean 2050 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2	#FC9D31
#FC9D31	1260815400	456.161290322581	14141 cyclists counted at Maisonneuve 2 in 31 days of December 2009 (mean 456 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2	#FC9D31
#FC9D31	1263493800	301.774193548387	9355 cyclists counted at Maisonneuve 2 in 31 days of January 2010 (mean 301 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2	#FC9D31
#FC9D31	1266172200	344.821428571429	9655 cyclists counted at Maisonneuve 2 in 28 days of February 2010 (mean 344 cyclists/day)	Maisonneuve 2	Maisonneuve 2	2	#FC9D31
